date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:56	215188/215188	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:50:56%20GMT	https://app-sorteos.com/es/apps/la-ruleta-decide	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/la-ruleta-decide.html	(from )
11:50:57	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%226690eb52-45%22	https://app-sorteos.com/robots.txt		(from )
11:50:57	1668/1668	---M--	200	added ('OK')	image/png	etag:%226690eb4d-684%22	https://app-sorteos.com/favicon.png	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/favicon.png	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:57	5319/5319	---M--	200	added ('OK')	image/png	etag:%226690eb4d-14c7%22	https://app-sorteos.com/apple-touch-icon.png	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/apple-touch-icon.png	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:57	1627/1627	---M--	200	added ('OK')	image/png	etag:%226690eb4d-65b%22	https://app-sorteos.com/favicon-32x32.png	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/favicon-32x32.png	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:57	1079/1079	---M--	200	added ('OK')	image/png	etag:%226690eb4d-437%22	https://app-sorteos.com/favicon-16x16.png	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/favicon-16x16.png	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:58	234886/234886	---MCZ	200	added ('OK')	text/css	etag:W/%22674879e7-39586%22	https://app-sorteos.com/css/all.front.compiled.css?1732803047	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/css/all.front.compiled88ba.css	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:58	12337/12337	---MCZ	200	added ('OK')	text/css	etag:W/%226690eb4d-3031%22	https://app-sorteos.com/css/wheel.css?1720773453	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/css/wheel4b22.css	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:58	6902/6902	---MCZ	200	added ('OK')	text/css	etag:W/%2267487812-1af6%22	https://app-sorteos.com/font/rafflys-icons/styles.css?v=1.13	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/font/rafflys-icons/styles8a25.css	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:58	169657/169657	---M--	200	added ('OK')	image/jpeg	etag:%226690eb4f-296b9%22	https://app-sorteos.com/img/sharing/apps/wheel_es.jpg	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/img/sharing/apps/wheel_es.jpg	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:59	3925/3925	---M--	200	added ('OK')	image/png	etag:%226690eb4e-f55%22	https://app-sorteos.com/img/isologo.png	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/img/isologo.png	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:59	183988/183988	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:50:59%20GMT	https://app-sorteos.com/es/apps/sorteo-instagram	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-instagram.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:59	191892/191892	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:50:59%20GMT	https://app-sorteos.com/es/apps/sorteo-facebook	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-facebook.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:50:59	176865/176865	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:50:59%20GMT	https://app-sorteos.com/es/apps/sorteados	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteados.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:00	173344/173344	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:50:59%20GMT	https://app-sorteos.com/es/apps/sorteo-twitter	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-twitter.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:00	209120/209120	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:50:59%20GMT	https://app-sorteos.com/es/apps/sorteo-combinado-instagram-facebook	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-combinado-instagram-facebook.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:00	168330/168330	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:51:00%20GMT	https://app-sorteos.com/es/apps/sorteo-tiktok	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-tiktok.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:00	182078/182078	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:51:00%20GMT	https://app-sorteos.com/es/apps/sorteo-youtube	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-youtube.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:01	177254/177254	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:51:00%20GMT	https://app-sorteos.com/es/apps/sorteo-linkedin	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/sorteo-linkedin.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:01	165156/165156	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:51:00%20GMT	https://app-sorteos.com/es/apps/generador-trivias-online	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/generador-trivias-online.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
11:51:01	153109/153109	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2015:51:01%20GMT	https://app-sorteos.com/es/apps/raspa-gana	C:/Users/mtvic/Documents/ExtractedWebsites/Ruleta/app-sorteos.com/es/apps/raspa-gana.html	(from https://app-sorteos.com/es/apps/la-ruleta-decide)
